Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Primera Division,14/04/18,Olimpo Bahia Blanca,San Martin S.J.,0,2
Primera Division,14/04/18,Lanus,Banfield,0,0
Primera Division,14/04/18,Belgrano,Arsenal Sarandi,3,0
Primera Division,15/04/18,Defensa y Justicia,Racing Club,3,2
Primera Division,15/04/18,Union de Santa Fe,Tigre,3,3
Primera Division,15/04/18,Patronato,Estudiantes L.P.,0,1
Primera Division,15/04/18,Chacarita Juniors,Colon Santa FE,0,2
Primera Division,15/04/18,River Plate,Rosario Central,2,0
Primera Division,16/04/18,Independiente,Boca Juniors,1,0
Primera Division,16/04/18,Newells Old Boys,Talleres Cordoba,2,1
Primera Division,17/04/18,Velez Sarsfield,San Lorenzo,2,2
Primera Division,20/04/18,Argentinos Jrs,Olimpo Bahia Blanca,1,0
Primera Division,21/04/18,Estudiantes L.P.,Belgrano,0,1
Primera Division,21/04/18,San Martin S.J.,Lanus,1,1
Primera Division,21/04/18,Temperley,Velez Sarsfield,2,4
Primera Division,21/04/18,Talleres Cordoba,Gimnasia L.P.,2,0
Primera Division,21/04/18,Banfield,Godoy Cruz,1,1
Primera Division,22/04/18,San Lorenzo,Chacarita Juniors,1,0
Primera Division,22/04/18,Tigre,Huracan,0,2
Primera Division,22/04/18,Rosario Central,Racing Club,0,2
Primera Division,22/04/18,Atl. Tucuman,Union de Santa Fe,0,0
Primera Division,22/04/18,Arsenal Sarandi,River Plate,0,3
Primera Division,23/04/18,Boca Juniors,Newells Old Boys,3,1
Primera Division,23/04/18,Colon Santa FE,Patronato,4,0
Primera Division,24/04/18,Independiente,Defensa y Justicia,0,1
Primera Division,27/04/18,Chacarita Juniors,Temperley,1,2
Primera Division,28/04/18,Godoy Cruz,San Martin S.J.,2,0
Primera Division,28/04/18,Defensa y Justicia,Rosario Central,3,1
Primera Division,28/04/18,Velez Sarsfield,Banfield,1,0
Primera Division,28/04/18,Newells Old Boys,Independiente,0,1
Primera Division,28/04/18,Lanus,Argentinos Jrs,0,0
Primera Division,29/04/18,Huracan,Atl. Tucuman,3,2
Primera Division,29/04/18,Patronato,San Lorenzo,0,0
Primera Division,29/04/18,Belgrano,Colon Santa FE,1,0
Primera Division,30/04/18,Union de Santa Fe,Talleres Cordoba,3,0
Primera Division,01/05/18,Olimpo Bahia Blanca,Tigre,1,5
Primera Division,04/05/18,San Martin S.J.,Velez Sarsfield,0,2
Primera Division,05/05/18,San Lorenzo,Belgrano,2,0
Primera Division,05/05/18,Argentinos Jrs,Godoy Cruz,1,2
Primera Division,05/05/18,Arsenal Sarandi,Rosario Central,4,0
Primera Division,05/05/18,Newells Old Boys,Defensa y Justicia,1,0
Primera Division,05/05/18,Talleres Cordoba,Huracan,0,0
Primera Division,06/05/18,Atl. Tucuman,Olimpo Bahia Blanca,1,1
Primera Division,06/05/18,Temperley,Patronato,1,2
Primera Division,06/05/18,Independiente,Gimnasia L.P.,2,2
Primera Division,06/05/18,Tigre,Lanus,0,0
Primera Division,06/05/18,Boca Juniors,Union de Santa Fe,2,0
Primera Division,07/05/18,Estudiantes L.P.,Racing Club,1,2
Primera Division,07/05/18,Banfield,Chacarita Juniors,2,1
Primera Division,08/05/18,Colon Santa FE,River Plate,0,0
Primera Division,09/05/18,Racing Club,Arsenal Sarandi,2,0
Primera Division,09/05/18,Gimnasia L.P.,Boca Juniors,2,2
Primera Division,10/05/18,Colon Santa FE,Velez Sarsfield,0,1
Primera Division,11/05/18,River Plate,Estudiantes L.P.,2,0
Primera Division,11/05/18,Chacarita Juniors,San Martin S.J.,1,4
Primera Division,12/05/18,Lanus,Atl. Tucuman,0,0
Primera Division,12/05/18,Huracan,Boca Juniors,3,3
Primera Division,12/05/18,Patronato,Banfield,0,0
Primera Division,12/05/18,Defensa y Justicia,Arsenal Sarandi,2,0
Primera Division,12/05/18,Olimpo Bahia Blanca,Talleres Cordoba,2,2
Primera Division,12/05/18,Union de Santa Fe,Independiente,1,0
Primera Division,13/05/18,Belgrano,Temperley,2,3
Primera Division,13/05/18,Godoy Cruz,Tigre,2,0
Primera Division,14/05/18,Velez Sarsfield,Argentinos Jrs,1,1
Primera Division,14/05/18,Racing Club,Colon Santa FE,1,3
Primera Division,14/05/18,Rosario Central,Estudiantes L.P.,1,1
Primera Division,15/05/18,Gimnasia L.P.,Newells Old Boys,2,0
Primera Division,15/05/18,River Plate,San Lorenzo,2,0
