portugalia_1_2017,Meciuri:,306,,,,,
1,35.28,37.27,1.99,36.44,40.91,4.47
2,23.25,26.36,3.11,20.87,17.27,-3.6
3,10.22,6.36,-3.86,7.97,7.27,-0.7
4,3.37,2.73,-0.64,2.28,1.82,-0.46
,,,,,,
spania_2_2018,Meciuri:,132,,,,,
G,PA,A,dA,PD,D,dD
0,25.57,15.91,-9.66,41.22,40.91,-0.31
1,34.87,49.24,14.37,36.53,37.88,1.35
2,23.78,22.73,-1.05,16.19,15.15,-1.04
3,10.81,7.58,-3.23,4.78,3.79,-0.99
4,3.68,3.79,0.11,1.06,2.27,1.21
,,,,,,
germania_1_2017,Meciuri:,306,,,,,
G,PA,A,dA,PD,D,dD
0,20.16,19.93,-0.23,30.34,32.03,1.69
1,32.29,33.01,0.72,36.19,34.31,-1.88
2,25.85,25.82,-0.03,21.58,21.24,-0.34
3,13.8,13.4,-0.4,8.58,8.5,-0.08
4,5.52,5.23,-0.29,2.56,2.94,0.38
,,,,,,
germania_1_2018,Meciuri:,90,,,,,
G,PA,A,dA,PD,D,dD
0,18.07,21.11,3.04,24.66,25.56,0.9
1,30.91,32.22,1.31,34.52,34.44,-0.08
2,26.45,21.11,-5.34,24.17,21.11,-3.06
3,15.09,14.44,-0.65,11.28,14.44,3.16
4,6.45,7.78,1.33,3.95,3.33,-0.62
,,,,,,
germania_2_2018,Meciuri:,108,,,,,
G,PA,A,dA,PD,D,dD
0,22.11,25.0,2.89,27.87,26.85,-1.02
1,33.37,32.41,-0.96,35.61,37.96,2.35
2,25.18,19.44,-5.74,22.75,22.22,-0.53
3,12.67,15.74,3.07,9.69,9.26,-0.43
4,4.78,5.56,0.78,3.09,0.93,-2.16
,,,,,,
germania_1_2016,Meciuri:,306,,,,,
G,PA,A,dA,PD,D,dD
0,19.07,18.3,-0.77,29.84,33.01,3.17
1,31.6,33.33,1.73,36.09,34.64,-1.45
2,26.18,26.47,0.29,21.82,18.95,-2.87
3,14.46,13.07,-1.39,8.79,8.82,0.03
4,5.99,6.21,0.22,2.66,1.96,-0.7
,,,,,,
germania_2_2017,Meciuri:,306,,,,,
G,PA,A,dA,PD,D,dD
0,22.53,20.92,-1.61,28.23,27.12,-1.11
1,33.58,36.27,2.69,35.7,35.62,-0.08
2,25.02,22.55,-2.47,22.58,25.49,2.91
3,12.43,15.03,2.6,9.52,8.5,-1.02
4,4.63,3.92,-0.71,3.01,2.29,-0.72
,,,,,,
germania_2_2016,Meciuri:,306,,,,,
G,PA,A,dA,PD,D,dD
0,24.13,21.24,-2.89,34.46,35.29,0.83
1,34.31,37.58,3.27,36.71,34.97,-1.74
2,24.39,26.47,2.08,19.56,19.93,0.37
3,11.55,10.13,-1.42,6.94,7.52,0.58
4,4.11,2.61,-1.5,1.85,2.29,0.44
,,,,,,
